 access - dostęp 
 accessing - dostęp 
 ahead - dalej 
 allocated - asygnowany 
 allocation - przydział 
 arrived - przybył 
 ascending - rosnąco 
 assign - przydzielać 
 assigned - przydzielony 
 assume - założyć 
 attempts - próbowanie 
 average - przeciętny 
 base - baza 
 based - na podstawie 
 being - istnienie 
 binary - dwójkowy 
 bogo - bogo 
 bogosort - bogosort 
 both - Zarówno 
 bound - zobowiązany 
 britney - Britney 
 brittany - Bretania 
 brittany's - Bretania 
 bunch - garść 
 caller - gość 
 calls - dzwoni 
 causes - powoduje 
 clause - klauzula 
 collection - kolekcja 
 colon - okrężnica 
 combinations - kombinacje 
 combined - łączny 
 comma - przecinek 
 common - wspólny 
 compare - porównywać 
 comparison - porównanie 
 complexities - złożoności 
 complexity - złożoność 
 concept - pojęcie 
 concepts - koncepcje 
 condition - stan 
 confusing - mylące 
 conquer - podbić 
 consider - rozważać 
 constant - stały 
 contain - zawierać 
 containing - zawierający 
 contains - zawiera 
 contents - zawartość 
 context - kontekst 
 contiguous - przyległy 
 correctness - poprawność 
 could - mógłby 
 couple - para 
 course - kurs 
 defined - zdefiniowany 
 defining - definiowanie 
 depth - głębokość 
 determine - określać 
 dial - Wybierz 
 dials - tarcze 
 difference - różnica 
 distinct - odrębny 
 divide - dzielić 
 divided - podzielony 
 dividing - działowy 
 division - podział 
 earlier - wcześniej 
 effectively - efektywnie 
 efficiency - efektywność 
 efficient - wydajny 
 either - zarówno 
 evaluate - oceniać 
 evaluates - ocenia 
 evaluating - ocenianie 
 even - nawet 
 eventually - ostatecznie 
 execute - wykonać 
 exponential - wykładniczy 
 factor - czynnik 
 factorial - Silnia 
 fairly - raczej 
 familiar - znajomy, rodzinny 
 few - mało 
 figure - postać 
 floor - piętro 
 forward - Naprzód 
 further - dalej 
 getting - dostawanie 
 goal - bramka 
 goes - idzie 
 grid - krata 
 grows - rośnie 
 guidelines - wytyczne 
 halves - połówki 
 hand - ręka 
 handle - uchwyt 
 however - jednakże 
 ignores - ignoruje 
 immediately - od razu 
 implement - wprowadzić w życie 
 implementations - wdrożenia 
 implementing - realizowanie 
 increase - zwiększać 
 increases - wzrasta 
 increment - przyrost 
 indexes - indeksy 
 initial - Inicjał 
 insert - wstawić 
 inserting - wstawianie 
 instead - zamiast 
 integers - liczby całkowite 
 involves - wymaga 
 iterate - powtarzać 
 iterative - wielokrotny 
 itself - samo 
 keep - trzymać 
 kind - uprzejmy 
 lastly - w końcu 
 len - len 
 linked - połączony 
 loads - masa 
 log - dziennik 
 logarithmic - logarytmiczny 
 logic - logika 
 looping - zapętlanie 
 made - zrobiony 
 match - mecz 
 matches - mecze 
 matter - materiał 
 may - może 
 measure - mierzyć 
 mentioned - wspomniany 
 merge - łączyć 
 merged - połączone 
 merging - scalanie 
 midpoint - punkt środkowy 
 might - móc 
 needed - potrzebne 
 node - węzeł 
 nodes - węzły 
 notation - notacja 
 notice - zauważyć 
 object - obiekt 
 obtain - uzyskać 
 overall - ogólnie 
 parentheses - zdanie wtrącone 
 particular - konkretny 
 pass - podawać 
 passed - przeszedł 
 pattern - wzorzec 
 performance - wydajność 
 performs - wykonuje 
 pivot - sworzeń 
 plot - intrygować 
 point - punkt 
 pointer - wskaźnik 
 polynomial - wielomian 
 power - moc 
 precondition - warunek wstępny 
 pretty - ładny 
 previous - poprzedni 
 process - proces 
 provide - dostarczać 
 quadratic - kwadratowy 
" quasi-linear "-" quasi-liniowy "
 quicksort - szybkie sortowanie 
 raised - uniesiony 
 rather - raczej 
 recursion - rekurencja 
 recursive - rekursywny 
 recursively - rekurencyjnie 
 reduce - redukować 
 reference - odniesienie 
 regardless - bez względu 
 remaining - pozostały 
 repeatedly - wielokrotnie 
 represent - przedstawiać 
 representation - reprezentacja 
 represents - reprezentuje 
 rid - eliminować 
 rounded - bułczasty 
 runtime - czas pracy 
 runtimes - czasy pracy 
 scenario - scenariusz 
 seem - wydać się 
 seems - wydaje się 
 selection - wybór 
 self.head - własna.głowa 
 sense - sens 
 sequentially - sekwencyjnie 
 series - seria 
 sets - zestawy 
 several - kilka 
 shifted - przesunięty 
 singly - pojedynczo 
 slash - ciąć 
 slice - plasterek 
 slicing - krajanie na plastry 
 slightly - nieznacznie 
 solution - rozwiązanie 
 solve - rozwiązywać 
 sorting - sortowanie 
 squared - do kwadratu 
 stack - stos 
 statement - oświadczenie 
 stored - przechowywane 
 stores - sklepy 
 straightforward - bezpośredni 
 structure - Struktura 
 structures - Struktury 
 sub - pod 
" sub-list "- lista podrzędna 
" sub-lists "- listy podrzędne 
 subscript - indeks 
 such - taki 
 sum - suma 
 swift - szybki 
 syntax - składnia 
 tail - ogon 
 target - cel 
 terminates - kończy się 
 their - ich 
 therefore - dlatego 
 though - chociaż 
 took - wzięła 
 total - całkowity 
 track - tor 
 traverse - trawers 
 traversing - przemierzanie 
 treehouse - domek na drzewie 
 typically - zazwyczaj 
 underscore - podkreślać 
 unsorted - nieposortowany 
 until - aż do 
 whether - czy 
 while - podczas gdy 
 won't - przyzwyczajenie 
 would - zrobiłbym 
 wrap - zawinąć 
 wrapper - obwoluta 
 written - pisemny 
 wrote - napisał 
